wavelength,,Diatoms (pennate),Chlorophytes,Diatoms (centric),Cryptophytes,Cyanobacteria (blue),Cyanobacteria (red),Dinoflagellates,Eustigmatophytes,Haptophytes: Pavlovaceae,Pelagophytes,Prasinophytes,Prochlorococcus,Haptophytes: Prymnesiaceae,Raphidophytes,Rhodophytes,Synechococcus spp,Microcystis-like (vacuolate)
781,,0.000506,0.000079,0.000134,0.000187,0.000436,0.000218,0.000193,0.000199,0.000613,0.000164,0.000424,0.001533,0.000299,0.000079,0.000458,0.000594,0.000017
782,,0.000508,0.000078,0.000136,0.000188,0.000431,0.000223,0.000196,0.000202,0.000614,0.000169,0.000430,0.001536,0.000301,0.000079,0.000457,0.000593,0.000046
783,,0.000509,0.000078,0.000137,0.000189,0.000425,0.000226,0.000198,0.000204,0.000615,0.000173,0.000434,0.001538,0.000302,0.000080,0.000456,0.000591,0.000073
784,,0.000509,0.000077,0.000137,0.000189,0.000419,0.000228,0.000199,0.000206,0.000616,0.000175,0.000437,0.001540,0.000303,0.000080,0.000454,0.000589,0.000021
785,,0.000509,0.000077,0.000138,0.000190,0.000412,0.000227,0.000198,0.000207,0.000616,0.000176,0.000439,0.001541,0.000304,0.000080,0.000452,0.000586,0.000000
786,,0.000508,0.000076,0.000138,0.000190,0.000405,0.000225,0.000197,0.000207,0.000616,0.000176,0.000440,0.001541,0.000304,0.000080,0.000450,0.000582,0.000016
787,,0.000506,0.000075,0.000138,0.000190,0.000397,0.000222,0.000195,0.000207,0.000616,0.000176,0.000440,0.001541,0.000303,0.000080,0.000447,0.000578,0.000032
788,,0.000503,0.000075,0.000138,0.000190,0.000389,0.000218,0.000193,0.000206,0.000616,0.000174,0.000439,0.001541,0.000302,0.000080,0.000444,0.000573,0.000069
789,,0.000500,0.000074,0.000137,0.000190,0.000380,0.000212,0.000189,0.000204,0.000615,0.000171,0.000438,0.001540,0.000301,0.000080,0.000441,0.000568,0.000082
790,,0.000497,0.000073,0.000137,0.000189,0.000372,0.000205,0.000185,0.000202,0.000614,0.000168,0.000436,0.001539,0.000300,0.000080,0.000438,0.000562,0.000029
791,,0.000493,0.000072,0.000136,0.000189,0.000363,0.000198,0.000181,0.000200,0.000613,0.000164,0.000433,0.001538,0.000298,0.000080,0.000434,0.000556,0.000002
792,,0.000488,0.000071,0.000136,0.000188,0.000354,0.000190,0.000176,0.000198,0.000612,0.000160,0.000430,0.001536,0.000296,0.000079,0.000430,0.000550,0.000000
793,,0.000484,0.000070,0.000135,0.000187,0.000345,0.000181,0.000170,0.000195,0.000611,0.000155,0.000426,0.001534,0.000294,0.000079,0.000427,0.000544,0.000039
794,,0.000479,0.000069,0.000134,0.000187,0.000335,0.000172,0.000164,0.000192,0.000610,0.000150,0.000422,0.001532,0.000292,0.000079,0.000423,0.000537,0.000047
795,,0.000474,0.000068,0.000133,0.000186,0.000326,0.000162,0.000158,0.000189,0.000608,0.000145,0.000418,0.001530,0.000290,0.000079,0.000419,0.000531,0.000010
796,,0.000469,0.000067,0.000132,0.000185,0.000317,0.000153,0.000152,0.000185,0.000607,0.000140,0.000413,0.001528,0.000288,0.000078,0.000416,0.000524,0.000034
797,,0.000464,0.000066,0.000131,0.000184,0.000308,0.000143,0.000146,0.000182,0.000605,0.000135,0.000409,0.001526,0.000285,0.000078,0.000412,0.000518,0.000072
798,,0.000459,0.000065,0.000130,0.000183,0.000299,0.000133,0.000140,0.000179,0.000604,0.000129,0.000405,0.001524,0.000283,0.000078,0.000408,0.000512,0.000031
799,,0.000455,0.000064,0.000129,0.000183,0.000291,0.000124,0.000134,0.000176,0.000602,0.000124,0.000400,0.001521,0.000281,0.000077,0.000405,0.000506,0.000019
800,,0.000450,0.000064,0.000128,0.000182,0.000283,0.000115,0.000128,0.000173,0.000601,0.000120,0.000396,0.001519,0.000279,0.000077,0.000402,0.000500,0.000019
801,,0.000446,0.000063,0.000127,0.000181,0.000275,0.000106,0.000123,0.000170,0.000600,0.000115,0.000393,0.001518,0.000277,0.000077,0.000399,0.000494,0.000019
802,,0.000441,0.000062,0.000127,0.000180,0.000268,0.000098,0.000118,0.000168,0.000599,0.000111,0.000389,0.001516,0.000275,0.000077,0.000396,0.000489,0.000019
803,,0.000438,0.000061,0.000126,0.000180,0.000261,0.000090,0.000113,0.000165,0.000597,0.000107,0.000386,0.001514,0.000273,0.000076,0.000393,0.000484,0.000019
804,,0.000434,0.000061,0.000125,0.000179,0.000254,0.000083,0.000108,0.000163,0.000596,0.000104,0.000383,0.001513,0.000272,0.000076,0.000390,0.000480,0.000019
805,,0.000431,0.000060,0.000125,0.000179,0.000247,0.000076,0.000103,0.000161,0.000595,0.000101,0.000381,0.001512,0.000270,0.000076,0.000388,0.000476,0.000019
806,,0.000427,0.000060,0.000124,0.000178,0.000241,0.000069,0.000099,0.000160,0.000595,0.000098,0.000379,0.001511,0.000269,0.000076,0.000386,0.000472,0.000018
807,,0.000425,0.000059,0.000124,0.000178,0.000236,0.000063,0.000095,0.000158,0.000594,0.000096,0.000377,0.001510,0.000268,0.000076,0.000384,0.000468,0.000018
808,,0.000422,0.000059,0.000123,0.000178,0.000230,0.000057,0.000091,0.000157,0.000593,0.000094,0.000375,0.001509,0.000266,0.000076,0.000382,0.000465,0.000018
809,,0.000419,0.000058,0.000123,0.000177,0.000225,0.000052,0.000088,0.000155,0.000593,0.000092,0.000373,0.001508,0.000265,0.000076,0.000380,0.000462,0.000018
